"Practice","RT","accuracy","adaptive_category","adaptive_change","adaptive_phase","alternation_detected","block","cond","condition","correct","correct_keyboard_response","correct_response","data_row_type","display_height","display_width","experiment_path","experimental_trial_count","exposure_HF","exposure_LF","exposure_Pseudo","exposure_Random","exposure_floor_reached","exposure_time_after","exposure_time_before","fixation_dur","history_HF","history_LF","history_Pseudo","history_Random","keyboard_backend","mouse_backend","outcome_history_after","outcome_history_before","response_keyboard_response","response_time_keyboard_response","response_was_timeout","scaled_font_size","step_HF","step_LF","step_Pseudo","step_Random","step_size_after","step_size_applied","step_size_before","stimulus","subject_nr","testing_trial_limit","time_Experimental","time_Practice","time_block_start","time_end_of_block_trigger","time_end_of_experiment","time_end_of_practice_block_trigger","time_experiment","time_experimental_block","time_experimental_sequence","time_feedback","time_fixation","time_fixation_duration","time_generalpreps","time_keyboard_response","time_main_instructions","time_new_block","time_new_block_trigger","time_new_sketchpad","time_practice_block","time_practice_block_trigger","time_practice_sequence_1","time_practice_start","time_presstostart","time_response_trigger","time_stimulus","time_stimulus_trigger","time_trial_sequence","title"
"No","531","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","1","2000","2000","1950","2000","0","1950","2000","552","","","1","","legacy","xpyriment","1","","m","531","0","20","50","50","50","50","50","50","50","scheben","11","200","7584","NA","7678","NA","NA","NA","1722","14048","7675","NA","14135","14134","1787","14693","1795","7675","14048","NA","NA","NA","NA","NA","13313","15225","14693","NA","14134","LexicalDecision"
"No","423","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","2","2000","2000","1900","2000","0","1900","1950","552","","","11","","legacy","xpyriment","11","1","m","423","0","20","50","50","50","50","50","50","50","gefeurd","11","200","7584","NA","7678","NA","NA","NA","1722","14048","7675","NA","15358","15357","1787","15914","1795","7675","14048","NA","NA","NA","NA","NA","13313","16337","15914","NA","15357","LexicalDecision"
"No","494","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","3","2000","2000","1900","1950","0","1950","2000","434","","","11","1","legacy","xpyriment","1","","m","494","0","20","50","50","50","50","50","50","50","sa'ammg","11","200","7584","NA","7678","NA","NA","NA","1722","14048","7675","NA","16460","16459","1787","16897","1795","7675","14048","NA","NA","NA","NA","NA","13313","17391","16896","NA","16459","LexicalDecision"
"No","369","1","HF","-50","experimental","0","1","HF","1","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","4","1950","2000","1900","1950","0","1950","2000","518","1","","11","1","legacy","xpyriment","1","","n","369","0","20","50","50","50","50","50","50","50","reis","11","200","7584","NA","7678","NA","NA","NA","1722","14048","7675","NA","17508","17507","1787","18029","1795","7675","14048","NA","NA","NA","NA","NA","13313","18398","18029","NA","17507","LexicalDecision"
"No","352","0","LF","50","experimental","0","1","LF","2","0","0","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","5","1950","2050","1900","1950","0","2050","2000","550","1","0","11","1","legacy","xpyriment","0","","m","352","0","20","50","50","50","50","50","50","50","balies","11","200","7584","NA","7678","NA","NA","NA","1722","14048","7675","19448","18517","18516","1787","19068","1795","7675","14048","NA","NA","NA","NA","NA","13313","19420","19068","NA","18516","LexicalDecision"
"No","480","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","6","1950","2050","1900","1900","0","1900","1950","558","1","0","11","11","legacy","xpyriment","11","1","m","480","0","20","50","50","50","50","50","50","50","nelpze","11","200","7584","NA","7678","NA","NA","NA","1722","14048","7675","19448","21587","21586","1787","22147","1795","7675","14048","NA","NA","NA","NA","NA","13313","22628","22146","NA","21586","LexicalDecision"
"No","723","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","7","1950","2050","1850","1900","0","1850","1900","415","1","0","111","11","legacy","xpyriment","111","11","m","723","0","20","50","50","50","50","50","50","50","kungen","11","200","7584","NA","7678","NA","NA","NA","1722","14048","7675","19448","22745","22744","1787","23162","1795","7675","14048","NA","NA","NA","NA","NA","13313","23885","23162","NA","22744","LexicalDecision"
"No","511","1","LF","-50","experimental","0","1","LF","2","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","8","1950","2000","1850","1900","0","2000","2050","396","1","1","111","11","legacy","xpyriment","01","0","n","511","0","20","50","50","50","50","50","50","50","vuilbak","11","200","7584","NA","7678","NA","NA","NA","1722","14048","7675","19448","24002","24001","1787","24401","1795","7675","14048","NA","NA","NA","NA","NA","13313","24912","24401","NA","24001","LexicalDecision"
"No","394","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","9","1950","2000","1850","1850","0","1850","1900","508","1","1","111","111","legacy","xpyriment","111","11","m","394","0","20","50","50","50","50","50","50","50","etsefji","11","200","7584","NA","7678","NA","NA","NA","1722","14048","7675","19448","25029","25028","1787","25540","1795","7675","14048","NA","NA","NA","NA","NA","13313","25935","25539","NA","25028","LexicalDecision"
"No","506","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","10","1950","2000","1850","1800","0","1800","1850","518","1","1","111","1111","legacy","xpyriment","1111","111","m","506","0","20","50","50","50","50","50","50","50","trsshi","11","200","7584","NA","7678","NA","NA","NA","1722","14048","7675","19448","26050","26049","1787","26572","1795","7675","14048","NA","NA","NA","NA","NA","13313","27078","26572","NA","26049","LexicalDecision"
"No","566","1","LF","-50","experimental","0","1","LF","2","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","11","1950","1950","1850","1800","0","1950","2000","553","1","11","111","1111","legacy","xpyriment","11","1","n","566","0","20","50","50","50","50","50","50","50","poema's","11","200","7584","NA","7678","NA","NA","NA","1722","14048","7675","19448","27193","27192","1787","27749","1795","7675","14048","NA","NA","NA","NA","NA","13313","28316","27749","NA","27192","LexicalDecision"
"No","654","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","12","1950","1950","1800","1800","0","1800","1850","467","1","11","1111","1111","legacy","xpyriment","1111","111","m","654","0","20","50","50","50","50","50","50","50","geruld","11","200","7584","NA","7678","NA","NA","NA","1722","14048","7675","19448","28431","28430","1787","28900","1795","7675","14048","NA","NA","NA","NA","NA","13313","29554","28900","NA","28430","LexicalDecision"
"No","623","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","13","1950","1950","1750","1800","0","1750","1800","591","1","11","1111","1111","legacy","xpyriment","1111","1111","m","623","0","20","50","50","50","50","50","50","50","vollà","11","200","7584","NA","7678","NA","NA","NA","1722","14048","7675","19448","29670","29669","1787","30265","1795","7675","14048","NA","NA","NA","NA","NA","13313","30888","30264","NA","29669","LexicalDecision"
"No","422","1","HF","-50","experimental","0","1","HF","1","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","14","1900","1950","1750","1800","0","1900","1950","513","11","11","1111","1111","legacy","xpyriment","11","1","n","422","0","20","50","50","50","50","50","50","50","plek","11","200","7584","NA","7678","NA","NA","NA","1722","14048","7675","19448","31004","31003","1787","31521","1795","7675","14048","NA","NA","NA","NA","NA","13313","31943","31520","NA","31003","LexicalDecision"
"No","483","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","15","1900","1950","1750","1750","0","1750","1800","417","11","11","1111","1111","legacy","xpyriment","1111","1111","m","483","0","20","50","50","50","50","50","50","50","ortanco","11","200","7584","NA","7678","NA","NA","NA","1722","14048","7675","19448","32058","32057","1787","32477","1795","7675","14048","NA","NA","NA","NA","NA","13313","32961","32477","NA","32057","LexicalDecision"
"No","440","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","16","1900","1950","1750","1700","0","1700","1750","528","11","11","1111","1111","legacy","xpyriment","1111","1111","m","440","0","20","50","50","50","50","50","50","50","hlnseuc","11","200","7584","NA","7678","NA","NA","NA","1722","14048","7675","19448","33076","33075","1787","33608","1795","7675","14048","NA","NA","NA","NA","NA","13313","34049","33607","NA","33075","LexicalDecision"
"No","701","1","HF","-50","experimental","0","1","HF","1","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","17","1850","1950","1750","1700","0","1850","1900","485","111","11","1111","1111","legacy","xpyriment","111","11","n","701","0","20","50","50","50","50","50","50","50","koude","11","200","7584","NA","7678","NA","NA","NA","1722","14048","7675","19448","34165","34164","1787","34653","1795","7675","14048","NA","NA","NA","NA","NA","13313","35355","34653","NA","34164","LexicalDecision"
"No","468","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","18","1850","1950","1750","1650","0","1650","1700","590","111","11","1111","1111","legacy","xpyriment","1111","1111","m","468","0","20","50","50","50","50","50","50","50","zjtleie","11","200","7584","NA","7678","NA","NA","NA","1722","14048","7675","19448","35472","35471","1787","36065","1795","7675","14048","NA","NA","NA","NA","NA","13313","36534","36065","NA","35471","LexicalDecision"
"No","485","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","19","1850","1950","1750","1600","0","1600","1650","506","111","11","1111","1111","legacy","xpyriment","1111","1111","m","485","0","20","50","50","50","50","50","50","50","trtsseek","11","200","7584","NA","7678","NA","NA","NA","1722","14048","7675","19448","36651","36650","1787","37160","1795","7675","14048","NA","NA","NA","NA","NA","13313","37645","37160","NA","36650","LexicalDecision"
"No","414","1","LF","-50","experimental","0","1","LF","2","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","20","1850","1900","1750","1600","0","1900","1950","572","111","111","1111","1111","legacy","xpyriment","111","11","n","414","0","20","50","50","50","50","50","50","50","dutjes","11","200","7584","NA","7678","NA","NA","NA","1722","14048","7675","19448","37761","37760","1787","38336","1795","7675","14048","NA","NA","NA","NA","NA","13313","38751","38335","NA","37760","LexicalDecision"
