"Practice","RT","accuracy","adaptive_category","adaptive_change","adaptive_phase","alternation_detected","block","cond","condition","correct","correct_keyboard_response","correct_response","data_row_type","display_height","display_width","experiment_path","experimental_trial_count","exposure_HF","exposure_LF","exposure_Pseudo","exposure_Random","exposure_floor_reached","exposure_time_after","exposure_time_before","fixation_dur","history_HF","history_LF","history_Pseudo","history_Random","keyboard_backend","mouse_backend","outcome_history_after","outcome_history_before","response_keyboard_response","response_time_keyboard_response","response_was_timeout","scaled_font_size","step_HF","step_LF","step_Pseudo","step_Random","step_size_after","step_size_applied","step_size_before","stimulus","subject_nr","testing_trial_limit","time_Experimental","time_Practice","time_block_start","time_end_of_block_trigger","time_end_of_experiment","time_end_of_practice_block_trigger","time_experiment","time_experimental_block","time_experimental_sequence","time_feedback","time_fixation","time_fixation_duration","time_generalpreps","time_keyboard_response","time_main_instructions","time_new_block","time_new_block_trigger","time_new_sketchpad","time_practice_block","time_practice_block_trigger","time_practice_sequence_1","time_practice_start","time_presstostart","time_response_trigger","time_stimulus","time_stimulus_trigger","time_trial_sequence","title"
"No","622","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","1","2000","2000","2000","1950","0","1950","2000","482","","","","1","legacy","xpyriment","1","","m","622","0","20","50","50","50","50","50","50","50","o'mpaes","9","200","3851","NA","3945","NA","NA","NA","1801","9801","3943","NA","9886","9885","1927","10373","1929","3943","9801","NA","NA","NA","NA","NA","8694","10996","10373","NA","9885","LexicalDecision"
"No","574","1","HF","-50","experimental","0","1","HF","1","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","2","1950","2000","2000","1950","0","1950","2000","585","1","","","1","legacy","xpyriment","1","","n","574","0","20","50","50","50","50","50","50","50","woord","9","200","3851","NA","3945","NA","NA","NA","1801","9801","3943","NA","11145","11144","1927","11733","1929","3943","9801","NA","NA","NA","NA","NA","8694","12308","11732","NA","11144","LexicalDecision"
"No","538","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","3","1950","2000","2000","1900","0","1900","1950","510","1","","","11","legacy","xpyriment","11","1","m","538","0","20","50","50","50","50","50","50","50","ssjaeak","9","200","3851","NA","3945","NA","NA","NA","1801","9801","3943","NA","12426","12425","1927","12939","1929","3943","9801","NA","NA","NA","NA","NA","8694","13478","12938","NA","12424","LexicalDecision"
"No","521","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","4","1950","2000","2000","1850","0","1850","1900","537","1","","","111","legacy","xpyriment","111","11","m","521","0","20","50","50","50","50","50","50","50","neesztjo","9","200","3851","NA","3945","NA","NA","NA","1801","9801","3943","NA","13596","13595","1927","14135","1929","3943","9801","NA","NA","NA","NA","NA","8694","14657","14135","NA","13595","LexicalDecision"
"No","545","1","HF","-50","experimental","0","1","HF","1","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","5","1900","2000","2000","1850","0","1900","1950","495","11","","","111","legacy","xpyriment","11","1","n","545","0","20","50","50","50","50","50","50","50","acht","9","200","3851","NA","3945","NA","NA","NA","1801","9801","3943","NA","14775","14774","1927","15273","1929","3943","9801","NA","NA","NA","NA","NA","8694","15819","15273","NA","14774","LexicalDecision"
"No","705","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","6","1900","2000","1950","1850","0","1950","2000","589","11","","1","111","legacy","xpyriment","1","","m","705","0","20","50","50","50","50","50","50","50","saart","9","200","3851","NA","3945","NA","NA","NA","1801","9801","3943","NA","15936","15935","1927","16528","1929","3943","9801","NA","NA","NA","NA","NA","8694","17234","16528","NA","15934","LexicalDecision"
"No","526","1","HF","-50","experimental","0","1","HF","1","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","7","1850","2000","1950","1850","0","1850","1900","582","111","","1","111","legacy","xpyriment","111","11","n","526","0","20","50","50","50","50","50","50","50","haar","9","200","3851","NA","3945","NA","NA","NA","1801","9801","3943","NA","17348","17347","1927","17932","1929","3943","9801","NA","NA","NA","NA","NA","8694","18459","17932","NA","17347","LexicalDecision"
"No","551","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","8","1850","2000","1950","1800","0","1800","1850","580","111","","1","1111","legacy","xpyriment","1111","111","m","551","0","20","50","50","50","50","50","50","50","kurwndi","9","200","3851","NA","3945","NA","NA","NA","1801","9801","3943","NA","18578","18577","1927","19161","1929","3943","9801","NA","NA","NA","NA","NA","8694","19713","19161","NA","18577","LexicalDecision"
"No","607","1","LF","-50","experimental","0","1","LF","2","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","9","1850","1950","1950","1800","0","1950","2000","539","111","1","1","1111","legacy","xpyriment","1","","n","607","0","20","50","50","50","50","50","50","50","deukje","9","200","3851","NA","3945","NA","NA","NA","1801","9801","3943","NA","19829","19828","1927","20371","1929","3943","9801","NA","NA","NA","NA","NA","8694","20978","20370","NA","19828","LexicalDecision"
"No","655","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","10","1850","1950","1900","1800","0","1900","1950","577","111","1","11","1111","legacy","xpyriment","11","1","m","655","0","20","50","50","50","50","50","50","50","boepte","9","200","3851","NA","3945","NA","NA","NA","1801","9801","3943","NA","21094","21093","1927","21675","1929","3943","9801","NA","NA","NA","NA","NA","8694","22331","21675","NA","21093","LexicalDecision"
