"Practice","RT","accuracy","adaptive_category","adaptive_change","adaptive_phase","alternation_detected","block","cond","condition","correct","correct_keyboard_response","correct_response","data_row_type","display_height","display_width","experiment_path","experimental_trial_count","exposure_HF","exposure_LF","exposure_Pseudo","exposure_Random","exposure_floor_reached","exposure_time_after","exposure_time_before","fixation_dur","history_HF","history_LF","history_Pseudo","history_Random","keyboard_backend","mouse_backend","outcome_history_after","outcome_history_before","response_keyboard_response","response_time_keyboard_response","response_was_timeout","scaled_font_size","step_HF","step_LF","step_Pseudo","step_Random","step_size_after","step_size_applied","step_size_before","stimulus","subject_nr","testing_trial_limit","time_Experimental","time_Practice","time_block_start","time_end_of_block_trigger","time_end_of_experiment","time_end_of_practice_block_trigger","time_experiment","time_experimental_block","time_experimental_sequence","time_feedback","time_fixation","time_fixation_duration","time_generalpreps","time_keyboard_response","time_main_instructions","time_new_block","time_new_block_trigger","time_new_sketchpad","time_practice_block","time_practice_block_trigger","time_practice_sequence_1","time_practice_start","time_presstostart","time_response_trigger","time_stimulus","time_stimulus_trigger","time_trial_sequence","title"
"No","492","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","12","1900","2000","1750","1850","0","1750","1800","439","11","10","1111","111","legacy","xpyriment","1111","1111","m","492","0","20","50","50","50","50","50","50","50","minaag","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","127714","132830","132829","1561","133271","1563","98951","115579","NA","NA","NA","NA","NA","112479","133763","133271","NA","132829","LexicalDecision"
"No","798","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","13","1900","2000","1700","1850","0","1700","1750","427","11","10","1111","111","legacy","xpyriment","1111","1111","m","798","0","20","50","50","50","50","50","50","50","bertend","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","127714","133886","133885","1561","134316","1563","98951","115579","NA","NA","NA","NA","NA","112479","135115","134316","NA","133885","LexicalDecision"
"No","514","1","HF","-50","experimental","0","1","HF","1","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","14","1850","2000","1700","1850","0","1850","1900","537","111","10","1111","111","legacy","xpyriment","111","11","n","514","0","20","50","50","50","50","50","50","50","stof","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","127714","135233","135232","1561","135773","1563","98951","115579","NA","NA","NA","NA","NA","112479","136288","135772","NA","135232","LexicalDecision"
"No","553","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","15","1850","2000","1650","1850","0","1650","1700","500","111","10","1111","111","legacy","xpyriment","1111","1111","m","553","0","20","50","50","50","50","50","50","50","duut","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","127714","136405","136404","1561","136908","1563","98951","115579","NA","NA","NA","NA","NA","112479","137461","136908","NA","136404","LexicalDecision"
"No","613","1","LF","-50","experimental","0","1","LF","2","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","16","1850","1950","1650","1850","0","1950","2000","406","111","101","1111","111","legacy","xpyriment","101","10","n","613","0","20","50","50","50","50","50","50","50","dutjes","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","127714","137589","137588","1561","137996","1563","98951","115579","NA","NA","NA","NA","NA","112479","138610","137996","NA","137588","LexicalDecision"
"No","708","1","LF","-50","experimental","0","1","LF","2","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","17","1850","1900","1650","1850","0","1900","1950","595","111","1011","1111","111","legacy","xpyriment","1011","101","n","708","0","20","50","50","50","50","50","50","50","hendels","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","127714","138729","138729","1561","139327","1563","98951","115579","NA","NA","NA","NA","NA","112479","140036","139327","NA","138728","LexicalDecision"
"No","866","1","LF","-50","experimental","0","1","LF","2","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","18","1850","1850","1650","1850","0","1850","1900","534","111","111","1111","111","legacy","xpyriment","0111","1011","n","866","0","20","50","50","50","50","50","50","50","esdoorn","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","127714","140155","140154","1561","140692","1563","98951","115579","NA","NA","NA","NA","NA","112479","141558","140692","NA","140153","LexicalDecision"
"No","594","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","19","1850","1850","1600","1850","0","1600","1650","563","111","111","1111","111","legacy","xpyriment","1111","1111","m","594","0","20","50","50","50","50","50","50","50","egnect","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","127714","141677","141676","1561","142242","1563","98951","115579","NA","NA","NA","NA","NA","112479","142836","142242","NA","141676","LexicalDecision"
"No","586","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","20","1850","1850","1600","1800","0","1800","1850","589","111","111","1111","1111","legacy","xpyriment","1111","111","m","586","0","20","50","50","50","50","50","50","50","tetozn","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","127714","142955","142954","1561","143547","1563","98951","115579","NA","NA","NA","NA","NA","112479","144134","143546","NA","142954","LexicalDecision"
"No","831","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","21","1850","1850","1600","1750","0","1750","1800","416","111","111","1111","1111","legacy","xpyriment","1111","1111","m","831","0","20","50","50","50","50","50","50","50","scibuit","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","127714","144253","144252","1561","144672","1563","98951","115579","NA","NA","NA","NA","NA","112479","145504","144672","NA","144252","LexicalDecision"
