"Practice","RT","accuracy","adaptive_category","adaptive_change","adaptive_phase","alternation_detected","block","cond","condition","correct","correct_keyboard_response","correct_response","data_row_type","display_height","display_width","experiment_path","experimental_trial_count","exposure_HF","exposure_LF","exposure_Pseudo","exposure_Random","exposure_floor_reached","exposure_time_after","exposure_time_before","fixation_dur","history_HF","history_LF","history_Pseudo","history_Random","keyboard_backend","mouse_backend","outcome_history_after","outcome_history_before","response_keyboard_response","response_time_keyboard_response","response_was_timeout","scaled_font_size","step_HF","step_LF","step_Pseudo","step_Random","step_size_after","step_size_applied","step_size_before","stimulus","subject_nr","testing_trial_limit","time_Experimental","time_Practice","time_block_start","time_end_of_block_trigger","time_end_of_experiment","time_end_of_practice_block_trigger","time_experiment","time_experimental_block","time_experimental_sequence","time_feedback","time_fixation","time_fixation_duration","time_generalpreps","time_keyboard_response","time_main_instructions","time_new_block","time_new_block_trigger","time_new_sketchpad","time_practice_block","time_practice_block_trigger","time_practice_sequence_1","time_practice_start","time_presstostart","time_response_trigger","time_stimulus","time_stimulus_trigger","time_trial_sequence","title"
"No","910","1","LF","-50","experimental","0","1","LF","2","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","1","2000","1950","2000","2000","0","1950","2000","529","","1","","","legacy","xpyriment","1","","n","910","0","20","50","50","50","50","50","50","50","ventjes","12","200","11273","NA","11369","NA","NA","NA","2128","24831","11366","NA","24920","24919","2206","25454","2207","11367","24831","NA","NA","NA","NA","NA","23503","26365","25454","NA","24918","LexicalDecision"
"No","506","1","HF","-50","experimental","0","1","HF","1","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","2","1950","1950","2000","2000","0","1950","2000","489","1","1","","","legacy","xpyriment","1","","n","506","0","20","50","50","50","50","50","50","50","jongen","12","200","11273","NA","11369","NA","NA","NA","2128","24831","11366","NA","26498","26497","2206","26989","2207","11367","24831","NA","NA","NA","NA","NA","23503","27495","26989","NA","26497","LexicalDecision"
"No","429","1","HF","-50","experimental","0","1","HF","1","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","3","1900","1950","2000","2000","0","1900","1950","564","11","1","","","legacy","xpyriment","11","1","n","429","0","20","50","50","50","50","50","50","50","niveau","12","200","11273","NA","11369","NA","NA","NA","2128","24831","11366","NA","27613","27612","2206","28181","2207","11367","24831","NA","NA","NA","NA","NA","23503","28610","28181","NA","27611","LexicalDecision"
"No","529","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","4","1900","1950","2000","1950","0","1950","2000","522","11","1","","1","legacy","xpyriment","1","","m","529","0","20","50","50","50","50","50","50","50","trsshi","12","200","11273","NA","11369","NA","NA","NA","2128","24831","11366","NA","28727","28726","2206","29252","2207","11367","24831","NA","NA","NA","NA","NA","23503","29782","29252","NA","28726","LexicalDecision"
"No","619","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","5","1900","1950","2000","1900","0","1900","1950","523","11","1","","11","legacy","xpyriment","11","1","m","619","0","20","50","50","50","50","50","50","50","mjlisne","12","200","11273","NA","11369","NA","NA","NA","2128","24831","11366","NA","29900","29899","2206","30428","2207","11367","24831","NA","NA","NA","NA","NA","23503","31049","30428","NA","29899","LexicalDecision"
"No","466","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","6","1900","1950","1950","1900","0","1950","2000","550","11","1","1","11","legacy","xpyriment","1","","m","466","0","20","50","50","50","50","50","50","50","distijfs","12","200","11273","NA","11369","NA","NA","NA","2128","24831","11366","NA","31167","31166","2206","31719","2207","11367","24831","NA","NA","NA","NA","NA","23503","32186","31719","NA","31166","LexicalDecision"
"No","467","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","7","1900","1950","1950","1850","0","1850","1900","545","11","1","1","111","legacy","xpyriment","111","11","m","467","0","20","50","50","50","50","50","50","50","fjeiert","12","200","11273","NA","11369","NA","NA","NA","2128","24831","11366","NA","32303","32302","2206","32850","2207","11367","24831","NA","NA","NA","NA","NA","23503","33318","32850","NA","32302","LexicalDecision"
"No","685","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","8","1900","1950","1900","1850","0","1900","1950","498","11","1","11","111","legacy","xpyriment","11","1","m","685","0","20","50","50","50","50","50","50","50","diedde","12","200","11273","NA","11369","NA","NA","NA","2128","24831","11366","NA","33435","33434","2206","33937","2207","11367","24831","NA","NA","NA","NA","NA","23503","34622","33937","NA","33434","LexicalDecision"
"No","476","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","9","1900","1950","1900","1800","0","1800","1850","497","11","1","11","1111","legacy","xpyriment","1111","111","m","476","0","20","50","50","50","50","50","50","50","fetssoj","12","200","11273","NA","11369","NA","NA","NA","2128","24831","11366","NA","34741","34740","2206","35240","2207","11367","24831","NA","NA","NA","NA","NA","23503","35717","35240","NA","34740","LexicalDecision"
"No","545","0","Pseudo","50","experimental","0","1","Pseudo","3","0","0","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","10","1900","1950","1950","1800","0","1950","1900","439","11","1","110","1111","legacy","xpyriment","110","11","n","545","0","20","50","50","50","50","50","50","50","waarman","12","200","11273","NA","11369","NA","NA","NA","2128","24831","11366","36854","35837","35836","2206","36279","2207","11367","24831","NA","NA","NA","NA","NA","23503","36825","36279","NA","35836","LexicalDecision"
"No","676","0","HF","50","experimental","0","1","HF","1","0","0","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","11","1950","1950","1950","1800","0","1950","1900","531","110","1","110","1111","legacy","xpyriment","110","11","m","676","0","20","50","50","50","50","50","50","50","begrijp","12","200","11273","NA","11369","NA","NA","NA","2128","24831","11366","40237","38997","38996","2206","39530","2207","11367","24831","NA","NA","NA","NA","NA","23503","40207","39530","NA","38995","LexicalDecision"
"No","774","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","12","1950","1950","1900","1800","0","1900","1950","402","110","1","1101","1111","legacy","xpyriment","1101","110","m","774","0","20","50","50","50","50","50","50","50","strag","12","200","11273","NA","11369","NA","NA","NA","2128","24831","11366","40237","42377","42376","2206","42781","2207","11367","24831","NA","NA","NA","NA","NA","23503","43556","42781","NA","42376","LexicalDecision"
"No","503","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","13","1950","1950","1900","1750","0","1750","1800","533","110","1","1101","1111","legacy","xpyriment","1111","1111","m","503","0","20","50","50","50","50","50","50","50","oetjls","12","200","11273","NA","11369","NA","NA","NA","2128","24831","11366","40237","43674","43673","2206","44211","2207","11367","24831","NA","NA","NA","NA","NA","23503","44715","44210","NA","43673","LexicalDecision"
