"Practice","RT","accuracy","adaptive_category","adaptive_change","adaptive_phase","alternation_detected","block","cond","condition","correct","correct_keyboard_response","correct_response","data_row_type","display_height","display_width","experiment_path","experimental_trial_count","exposure_HF","exposure_LF","exposure_Pseudo","exposure_Random","exposure_floor_reached","exposure_time_after","exposure_time_before","fixation_dur","history_HF","history_LF","history_Pseudo","history_Random","keyboard_backend","mouse_backend","outcome_history_after","outcome_history_before","response_keyboard_response","response_time_keyboard_response","response_was_timeout","scaled_font_size","step_HF","step_LF","step_Pseudo","step_Random","step_size_after","step_size_applied","step_size_before","stimulus","subject_nr","testing_trial_limit","time_Experimental","time_Practice","time_block_start","time_end_of_block_trigger","time_end_of_experiment","time_end_of_practice_block_trigger","time_experiment","time_experimental_block","time_experimental_sequence","time_feedback","time_fixation","time_fixation_duration","time_generalpreps","time_keyboard_response","time_main_instructions","time_new_block","time_new_block_trigger","time_new_sketchpad","time_practice_block","time_practice_block_trigger","time_practice_sequence_1","time_practice_start","time_presstostart","time_response_trigger","time_stimulus","time_stimulus_trigger","time_trial_sequence","title"
"No","2000","0","Random","50","experimental","0","1","Random","4","0","0","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","1","2000","2000","2000","2050","0","2050","2000","416","","","","0","legacy","xpyriment","0","","None","2000","1","20","50","50","50","50","50","50","50","vliessej","5","200","4519","NA","4611","NA","NA","NA","1946","12634","4609","15175","12725","12723","2053","13145","2055","4610","12634","NA","NA","NA","NA","NA","6475","15145","13145","NA","12722","LexicalDecision"
"No","1113","1","LF","-50","experimental","0","1","LF","2","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","2","2000","1950","2000","2050","0","1950","2000","510","","1","","0","legacy","xpyriment","1","","n","1113","0","20","50","50","50","50","50","50","50","stafje","5","200","4519","NA","4611","NA","NA","NA","1946","12634","4609","15175","17353","17352","2053","17866","2055","4610","12634","NA","NA","NA","NA","NA","6475","18980","17866","NA","17352","LexicalDecision"
"No","919","1","LF","-50","experimental","0","1","LF","2","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","3","2000","1900","2000","2050","0","1900","1950","585","","11","","0","legacy","xpyriment","11","1","n","919","0","20","50","50","50","50","50","50","50","punk","5","200","4519","NA","4611","NA","NA","NA","1946","12634","4609","15175","19097","19096","2053","19684","2055","4610","12634","NA","NA","NA","NA","NA","6475","20604","19684","NA","19096","LexicalDecision"
"No","1505","0","LF","50","experimental","0","1","LF","2","0","0","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","4","2000","1950","2000","2050","0","1950","1900","416","","110","","0","legacy","xpyriment","110","11","m","1505","0","20","50","50","50","50","50","50","50","twijgje","5","200","4519","NA","4611","NA","NA","NA","1946","12634","4609","22675","20720","20720","2053","21140","2055","4610","12634","NA","NA","NA","NA","NA","6475","22646","21139","NA","20719","LexicalDecision"
"No","898","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","5","2000","1950","2000","2000","0","2000","2050","467","","110","","1","legacy","xpyriment","01","0","m","898","0","20","50","50","50","50","50","50","50","upnoocs","5","200","4519","NA","4611","NA","NA","NA","1946","12634","4609","22675","24818","24817","2053","25287","2055","4610","12634","NA","NA","NA","NA","NA","6475","26185","25286","NA","24817","LexicalDecision"
"No","941","1","LF","-50","experimental","0","1","LF","2","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","6","2000","1900","2000","2000","0","1900","1950","471","","1101","","1","legacy","xpyriment","1101","110","n","941","0","20","50","50","50","50","50","50","50","cricket","5","200","4519","NA","4611","NA","NA","NA","1946","12634","4609","22675","26303","26302","2053","26778","2055","4610","12634","NA","NA","NA","NA","NA","6475","27720","26777","NA","26302","LexicalDecision"
"No","1192","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","7","2000","1900","2000","1950","0","1950","2000","508","","1101","","11","legacy","xpyriment","11","1","m","1192","0","20","50","50","50","50","50","50","50","sgjkreoe","5","200","4519","NA","4611","NA","NA","NA","1946","12634","4609","22675","27836","27835","2053","28347","2055","4610","12634","NA","NA","NA","NA","NA","6475","29540","28346","NA","27835","LexicalDecision"
"No","880","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","8","2000","1900","2000","1900","0","1900","1950","471","","1101","","111","legacy","xpyriment","111","11","m","880","0","20","50","50","50","50","50","50","50","sa'ammg","5","200","4519","NA","4611","NA","NA","NA","1946","12634","4609","22675","29658","29657","2053","30132","2055","4610","12634","NA","NA","NA","NA","NA","6475","31013","30131","NA","29657","LexicalDecision"
"No","821","1","LF","-50","experimental","0","1","LF","2","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","9","2000","1850","2000","1900","0","1850","1900","404","","1011","","111","legacy","xpyriment","1011","1101","n","821","0","20","50","50","50","50","50","50","50","trollen","5","200","4519","NA","4611","NA","NA","NA","1946","12634","4609","22675","31137","31136","2053","31544","2055","4610","12634","NA","NA","NA","NA","NA","6475","32366","31544","NA","31136","LexicalDecision"
"No","1002","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","10","2000","1850","2000","1850","0","1850","1900","593","","1011","","1111","legacy","xpyriment","1111","111","m","1002","0","20","50","50","50","50","50","50","50","neoornhe","5","200","4519","NA","4611","NA","NA","NA","1946","12634","4609","22675","32483","32482","2053","33080","2055","4610","12634","NA","NA","NA","NA","NA","6475","34083","33080","NA","32482","LexicalDecision"
