"Practice","RT","accuracy","adaptive_category","adaptive_change","adaptive_phase","alternation_detected","block","cond","condition","correct","correct_keyboard_response","correct_response","data_row_type","display_height","display_width","experiment_path","experimental_trial_count","exposure_HF","exposure_LF","exposure_Pseudo","exposure_Random","exposure_floor_reached","exposure_time_after","exposure_time_before","fixation_dur","history_HF","history_LF","history_Pseudo","history_Random","keyboard_backend","mouse_backend","outcome_history_after","outcome_history_before","response_keyboard_response","response_time_keyboard_response","response_was_timeout","scaled_font_size","step_HF","step_LF","step_Pseudo","step_Random","step_size_after","step_size_applied","step_size_before","stimulus","subject_nr","testing_trial_limit","time_Experimental","time_Practice","time_block_start","time_end_of_block_trigger","time_end_of_experiment","time_end_of_practice_block_trigger","time_experiment","time_experimental_block","time_experimental_sequence","time_feedback","time_fixation","time_fixation_duration","time_generalpreps","time_keyboard_response","time_main_instructions","time_new_block","time_new_block_trigger","time_new_sketchpad","time_practice_block","time_practice_block_trigger","time_practice_sequence_1","time_practice_start","time_presstostart","time_response_trigger","time_stimulus","time_stimulus_trigger","time_trial_sequence","title"
"No","510","1","LF","-50","experimental","0","1","LF","2","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","1","2000","1950","2000","2000","0","1950","2000","451","","1","","","legacy","xpyriment","1","","n","510","0","20","50","50","50","50","50","50","50","treintje","10","200","3682","NA","3773","NA","NA","NA","1711","10031","3771","NA","10118","10117","1773","10572","1775","3771","10031","NA","NA","NA","NA","NA","9129","11083","10572","NA","10117","LexicalDecision"
"No","414","1","HF","-50","experimental","0","1","HF","1","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","2","1950","1950","2000","2000","0","1950","2000","563","1","1","","","legacy","xpyriment","1","","n","414","0","20","50","50","50","50","50","50","50","boek","10","200","3682","NA","3773","NA","NA","NA","1711","10031","3771","NA","11228","11227","1773","11793","1775","3771","10031","NA","NA","NA","NA","NA","9129","12208","11793","NA","11227","LexicalDecision"
"No","381","1","LF","-50","experimental","0","1","LF","2","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","3","1950","1900","2000","2000","0","1900","1950","479","1","11","","","legacy","xpyriment","11","1","n","381","0","20","50","50","50","50","50","50","50","maandje","10","200","3682","NA","3773","NA","NA","NA","1711","10031","3771","NA","12330","12329","1773","12810","1775","3771","10031","NA","NA","NA","NA","NA","9129","13191","12810","NA","12328","LexicalDecision"
"No","451","1","HF","-50","experimental","0","1","HF","1","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","4","1900","1900","2000","2000","0","1900","1950","540","11","11","","","legacy","xpyriment","11","1","n","451","0","20","50","50","50","50","50","50","50","vlak","10","200","3682","NA","3773","NA","NA","NA","1711","10031","3771","NA","13310","13309","1773","13853","1775","3771","10031","NA","NA","NA","NA","NA","9129","14305","13853","NA","13309","LexicalDecision"
"No","679","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","5","1900","1900","1950","2000","0","1950","2000","549","11","11","1","","legacy","xpyriment","1","","m","679","0","20","50","50","50","50","50","50","50","laudend","10","200","3682","NA","3773","NA","NA","NA","1711","10031","3771","NA","14423","14422","1773","14974","1775","3771","10031","NA","NA","NA","NA","NA","9129","15653","14974","NA","14421","LexicalDecision"
"No","819","1","HF","-50","experimental","0","1","HF","1","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","6","1850","1900","1950","2000","0","1850","1900","481","111","11","1","","legacy","xpyriment","111","11","n","819","0","20","50","50","50","50","50","50","50","sleutel","10","200","3682","NA","3773","NA","NA","NA","1711","10031","3771","NA","15770","15769","1773","16256","1775","3771","10031","NA","NA","NA","NA","NA","9129","17076","16256","NA","15769","LexicalDecision"
"No","562","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","7","1850","1900","1950","1950","0","1950","2000","395","111","11","1","1","legacy","xpyriment","1","","m","562","0","20","50","50","50","50","50","50","50","eddkus","10","200","3682","NA","3773","NA","NA","NA","1711","10031","3771","NA","17194","17193","1773","17590","1775","3771","10031","NA","NA","NA","NA","NA","9129","18153","17590","NA","17193","LexicalDecision"
"No","449","1","HF","-50","experimental","0","1","HF","1","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","8","1800","1900","1950","1950","0","1800","1850","481","1111","11","1","1","legacy","xpyriment","1111","111","n","449","0","20","50","50","50","50","50","50","50","snel","10","200","3682","NA","3773","NA","NA","NA","1711","10031","3771","NA","18269","18268","1773","18754","1775","3771","10031","NA","NA","NA","NA","NA","9129","19204","18754","NA","18268","LexicalDecision"
"No","508","1","HF","-50","experimental","0","1","HF","1","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","9","1750","1900","1950","1950","0","1750","1800","450","1111","11","1","1","legacy","xpyriment","1111","1111","n","508","0","20","50","50","50","50","50","50","50","plaatsen","10","200","3682","NA","3773","NA","NA","NA","1711","10031","3771","NA","19320","19320","1773","19774","1775","3771","10031","NA","NA","NA","NA","NA","9129","20283","19773","NA","19319","LexicalDecision"
"No","735","0","Pseudo","50","experimental","0","1","Pseudo","3","0","0","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","10","1750","1900","2000","1950","0","2000","1950","450","1111","11","10","1","legacy","xpyriment","10","1","n","735","0","20","50","50","50","50","50","50","50","bechte","10","200","3682","NA","3773","NA","NA","NA","1711","10031","3771","21616","20399","20398","1773","20851","1775","3771","10031","NA","NA","NA","NA","NA","9129","21587","20850","NA","20398","LexicalDecision"
