"stimulus","cond","condition","correct_response"
"sprik","Pseudo",3,"m"
"gonmem","Random",4,"m"
"kaadt","Pseudo",3,"m"
"aktes","LF",2,"n"
"polo","LF",2,"n"
"willen","HF",1,"n"
"anncesrs","Random",4,"m"
"behoort","HF",1,"n"
