"stimulus","cond","condition","correct_response"
"vooram","Pseudo",3,"m"
"oarcrtts","Random",4,"m"
"geurtjes","LF",2,"n"
"banden","HF",1,"n"
"peukjes","LF",2,"n"
"loffer","Pseudo",3,"m"
"kaas","HF",1,"n"
"eplukk","Random",4,"m"
